Product Name,Product Price,Product Quantity,Product Brand,Product Category,Product Tag,Product Discount,Link to Product,Discounted Price
gardenia bun sambal bilis 60g,1.6,21,gardenia,"['bakery', 'bread', 'except alcohol', 'groceries', 'pantry']","['bakery', 'bread', 'gardenia', 'groceries', 'pantry']",0.0,https://vsj.bites.com.my/collections/groceries/products/gardenia-bun-sambal-bilis-60g,
ayam brand tuna chunk in water 150g,7.7,37,ayam brand,"['canned food & instant meals', 'except alcohol', 'groceries', 'pantry']","['ayam brand', 'canned food', 'groceries', 'instant meals', 'on sale', 'pantry']",3.0,https://vsj.bites.com.my/collections/groceries/products/ayam-brand-tuna-chunk-in-water-150gm,7.49
ufc refresh coconut water 1l,9.0,24,ufc,"['beverages', 'except alcohol', 'groceries']","['beverages', 'coconut water', 'groceries', 'mixed drink', 'ufc']",0.0,https://vsj.bites.com.my/collections/groceries/products/ufc-refresh-coconut-water-1l,
prego spaghetti 500g,5.2,28,prego,"['christmas fair', 'cny fair', 'except alcohol', 'groceries', 'pantry', 'pasta', 'pasta', 'rice & noodles']","['christmas fair', 'cny fair', 'groceries', 'on sale', 'pantry', 'pasta', 'prego']",7.0,https://vsj.bites.com.my/collections/groceries/products/prego-spaghetti-500g,4.88
arnotts choc tim tam classic dark 200g,15.5,28,arnott's,"['biscuits & cookies', 'christmas fair', 'except alcohol', 'groceries', 'october deals', 'pantry', 'snacks & sweets']","[""arnott's"", 'biscuits', 'christmas fair', 'cookies', 'groceries', 'october deals', 'on sale', 'pantry', 'snacks']",8.0,https://vsj.bites.com.my/collections/groceries/products/arnotts-choc-tim-tam-classic-dark-200g,14.28
milo rtd uht 5+1x200ml,10.45,9,bites shop,"['beverages', 'except alcohol', 'groceries']","['back 2 skool', 'beverages', 'cold drinks', 'groceries', 'malt drinks', 'milo', 'sahur']",0.0,https://vsj.bites.com.my/collections/groceries/products/milo-rtd-uht-5-1x200ml,
jasmine bihun 400g,3.5,23,jasmine,"['except alcohol', 'groceries', 'pantry', 'pasta', 'rice & noodles']","['bihun', 'groceries', 'jasmine', 'noodles', 'pantry', 'vermicelli']",0.0,https://vsj.bites.com.my/collections/groceries/products/jasmine-bihun-400g,
san remo spaghetti no.5 500gm,5.3,22,san remo,"['christmas fair', 'cny fair', 'except alcohol', 'groceries', 'pantry', 'pasta', 'pasta', 'rice & noodles']","['christmas fair', 'cny fair', 'groceries', 'noodles', 'on sale', 'pantry', 'pasta', 'san remo', 'spaghetti']",12.0,https://vsj.bites.com.my/collections/groceries/products/san-remo-spaghetti-no-5-500gm,4.68
vitagen assorted 5x125ml,5.1,14,vitagen,"['beverages', 'chilled juices & drinks', 'cold beverages', 'dairy & eggs', 'except alcohol', 'fridge', 'groceries', 'milk']","['beverages', 'chilled drinks', 'dairy', 'fridge', 'milk', 'vitagen']",0.0,https://vsj.bites.com.my/collections/groceries/products/vitagen-assorted-5x125ml,
milo australia 1kg,50.9,81,milo,"['beverages', 'except alcohol', 'groceries', 'hot beverages']","['beverages', 'chocolate drinks', 'groceries', 'hot beverages', 'milo', 'nestle']",0.0,https://vsj.bites.com.my/collections/groceries/products/milo-australia-1kg,
ayam brand sardines tall 425g,10.45,14,ayam brand,"['canned food & instant meals', 'except alcohol', 'groceries', 'pantry']","['ayam brand', 'canned food', 'groceries', 'instant meals', 'pantry']",0.0,https://vsj.bites.com.my/collections/groceries/products/ayam-brand-sardines-tall-425g,
barilla spaghetti 500g,8.15,20,barilla,"['except alcohol', 'groceries', 'pantry', 'pasta', 'pasta', 'rice & noodles']","['barilla', 'groceries', 'on sale', 'pantry', 'pasta']",11.0,https://vsj.bites.com.my/collections/groceries/products/barilla-spaghetti-500g,7.28
massimo white s.loaf 600g,4.3,7,massimo,"['bakery', 'bread', 'except alcohol', 'groceries']","['bakery', 'bread', 'massimo']",0.0,https://vsj.bites.com.my/collections/groceries/products/massimo-white-s-loaf-600g,
farmhouse fresh milk 2x1l,24.35,6,farmhouse,"['beverages', 'dairy & eggs', 'except alcohol', 'fridge', 'groceries', 'milk']","['beverages', 'dairy', 'farmhousefridge', 'groceries', 'milk', 'on sale']",7.0,https://vsj.bites.com.my/collections/groceries/products/farmhouse-fresh-milk-2x1l,22.68
maggi tomato ketchup 475g,5.95,10,maggi,"['except alcohol', 'groceries', 'pantry', 'sauces', 'oil & vinegar']","['groceries', 'maggi', 'on sale', 'pantry', 'sauces', 'tomato ketchup']",7.0,https://vsj.bites.com.my/collections/groceries/products/maggi-tomato-ketchup-475g,5.58
faiza moghul basmathi rice 5kg,51.9,3,faiza,"['except alcohol', 'groceries', 'pantry', 'pasta', 'rice & noodles', 'rice']","['faiza', 'groceries', 'pantry', 'rice']",0.0,https://vsj.bites.com.my/collections/groceries/products/faiza-moghul-basmathi-rice-5kg,
ayam brand chilli tuna 160g,7.7,14,ayam brand,"['canned food & instant meals', 'except alcohol', 'groceries', 'pantry']","['ayam brand', 'canned food', 'groceries', 'instant meals', 'on sale', 'pantry']",3.0,https://vsj.bites.com.my/collections/groceries/products/ayam-brand-chilli-tuna-160gm,7.49
vitagen apple 5x125ml,4.95,9,vitagen,"['beverages', 'chilled juices & drinks', 'cold beverages', 'dairy & eggs', 'except alcohol', 'fridge', 'groceries', 'milk']","['beverages', 'chilled drinks', 'dairy', 'fridge', 'milk', 'vitagen']",0.0,https://vsj.bites.com.my/collections/groceries/products/vitagen-apple-5x125ml,
csr natural brown sugar 1kg,5.45,3,csr,"['cooking ingredients', 'except alcohol', 'groceries', 'nuts', 'seeds & dried goods', 'pantry']","['cooking', 'cooking ingredients', 'dried goods', 'groceries', 'pantry', 'sugar']",0.0,https://vsj.bites.com.my/collections/groceries/products/csr-natural-brown-sugar-1kg,
jasmine sunwhite fragrant rice 10kg,71.0,6,jasmine,"['except alcohol', 'groceries', 'pantry', 'pasta', 'rice & noodles', 'rice']","['fragrant rice', 'groceries', 'jasmine', 'on sale', 'pantry', 'rice']",16.0,https://vsj.bites.com.my/collections/groceries/products/jasmine-sunwhite-fragrant-rice-10kg,59.88
sanitarium so good almond milk unsweetened 1l,12.2,35,sanitarium,"['beverages', 'christmas fair', 'cny fair', 'dairy & eggs', 'except alcohol', 'fridge', 'groceries', 'milk']","['almond milk', 'beverages', 'christmas fair', 'cny fair', 'dairy', 'groceries', 'milk', 'on sale', 'sanitarium']",13.0,https://vsj.bites.com.my/collections/groceries/products/sanitarium-so-good-almond-milk-unsweetened-1l,10.68
vitagen asst less sugar 5x125ml,5.4,7,vitagen,"['beverages', 'chilled juices & drinks', 'cold beverages', 'dairy & eggs', 'except alcohol', 'fridge', 'groceries', 'milk']","['beverages', 'chilled drinks', 'dairy', 'fridge', 'groceries', 'milk', 'vitagen']",0.0,https://vsj.bites.com.my/collections/groceries/products/vitagen-asst-less-sugar-5x125ml,
spritzer mineral water 9.5l,10.9,2,spritzer,"['best seller', 'beverages', 'except alcohol', 'groceries', 'water']","['best seller', 'beverages', 'groceries', 'mineral water', 'spritzer', 'water']",0.0,https://vsj.bites.com.my/collections/groceries/products/spritzer-mineral-water-95l,
star flavour vanilla 25ml,3.0,15,star brand,"['baking ingredients', 'cny fair', 'except alcohol', 'groceries', 'pantry']","['baking', 'cny fair', 'colouring', 'groceries', 'on sale', 'pantry', 'star brand']",4.0,https://vsj.bites.com.my/collections/groceries/products/star-flavour-vanilla-25ml,2.88
ayam brand trim coconut milk 200ml,3.3,11,ayam brand,"['cooking ingredients', 'except alcohol', 'groceries', 'pantry']","['ayam brand', 'condiment', 'cooking', 'groceries', 'pantry']",0.0,https://vsj.bites.com.my/collections/groceries/products/ayam-brand-trim-coconut-milk-200ml,
oreo vanilla 119.6g,3.5,23,oreo,"['biscuits & cookies', 'christmas fair', 'cny fair', 'except alcohol', 'groceries', 'pantry', 'snacks & sweets']","['biscuits', 'christmas fair', 'cny fair', 'on sale', 'oreo', 'pantry', 'snacks']",10.0,https://vsj.bites.com.my/collections/groceries/products/oreo-vanilla-119-6g,3.18
ayam brand tuna chunks in olive oil light 150g,7.7,31,ayam brand,"['canned food & instant meals', 'except alcohol', 'groceries', 'pantry']","['ayam brand', 'canned food', 'groceries', 'instant meals', 'on sale', 'pantry']",3.0,https://vsj.bites.com.my/collections/groceries/products/ayam-brand-tuna-light-chunk-i-olive-oil-150gm,7.49
maggi chicken 5x77g,6.25,5,maggi,"['canned food & instant meals', 'childhood memories', 'childhood memories', 'except alcohol', 'groceries', 'pantry']","['childhood memories', 'groceries', 'instant food', 'instant meals', 'instant noodles', 'maggi', 'on sale', 'pantry']",8.0,https://vsj.bites.com.my/collections/groceries/products/maggi-chicken-5x77g,5.78
carnation evaporated creamer 390g,4.25,20,carnation,"['childhood memories', 'childhood memories', 'except alcohol', 'groceries', 'pantry']","['carnation', 'childhood memories', 'creamer', 'evaporated creamer', 'groceries', 'on sale', 'pantry']",7.0,https://vsj.bites.com.my/collections/groceries/products/carnation-evaporated-creamer-390g,3.98
maggi big chicken 5x103g,7.1,4,maggi,"['canned food & instant meals', 'except alcohol', 'groceries', 'pantry']","['groceries', 'instant meals', 'instant noodles', 'maggi', 'pantry']",0.0,https://vsj.bites.com.my/collections/groceries/products/maggi-big-chicken-5x103g,
prego macaroni 500g,5.2,18,prego,"['christmas fair', 'cny fair', 'except alcohol', 'groceries', 'pantry', 'pasta', 'pasta', 'rice & noodles']","['christmas fair', 'cny fair', 'groceries', 'on sale', 'pantry', 'pasta', 'prego']",7.0,https://vsj.bites.com.my/collections/groceries/products/prego-macaroni-500g,4.88
marigold 100% juice apple 1l,7.35,9,marigold,"['beverages', 'christmas fair', 'except alcohol', 'groceries', 'juices & fruit drinks']","['beverages', 'christmas fair', 'fruit drinks', 'groceries', 'juices', 'marigold', 'on sale']",20.0,https://vsj.bites.com.my/collections/groceries/products/marigold-100-juice-apple-1l,5.88
lotus caramelised biscuits 2sx8 124g,7.15,6,biscoff,"['biscuits & cookies', 'except alcohol', 'groceries', 'pantry', 'snacks & sweets']","['biscuits', 'cookies', 'groceries', 'lotus', 'lotus biscoff', 'pantry', 'snacks']",0.0,https://vsj.bites.com.my/collections/groceries/products/lotus-caramelised-biscuits-2sx8-124g,
mission tortilla chips original 170g,7.8,8,mission,"['chips & crackers', 'except alcohol', 'groceries', 'pantry', 'snacks & sweets']","['chips', 'groceries', 'mission', 'pantry', 'snacks']",0.0,https://vsj.bites.com.my/collections/groceries/products/mission-tortilla-chips-original-170g,
farmhouse hical low fat 2x1l,24.35,15,farmhouse,"['beverages', 'dairy & eggs', 'except alcohol', 'fridge', 'groceries', 'milk']","['beverages', 'dairy', 'farmhousefridge', 'groceries', 'milk', 'on sale']",0.0,https://vsj.bites.com.my/collections/groceries/products/farmhouse-hical-low-fat-2x1l,22.68
vitagen grape 5x125ml,4.95,34,vitagen,"['beverages', 'chilled juices & drinks', 'cold beverages', 'dairy & eggs', 'except alcohol', 'fridge', 'groceries', 'milk']","['beverages', 'chilled drinks', 'dairy', 'fridge', 'milk', 'vitagen']",0.0,https://vsj.bites.com.my/collections/groceries/products/vitagen-grape-5x125ml,
ayam brand baked bean light 425gm,4.6,6,ayam brand,"['canned food & instant meals', 'except alcohol', 'groceries', 'pantry']","['ayam brand', 'canned food', 'groceries', 'instant meals', 'pantry']",0.0,https://vsj.bites.com.my/collections/groceries/products/ayam-brand-baked-bean-light-425gm,
dutch lady uht low fat 3x1l,21.7,10,dutch lady,"['beverages', 'dairy & eggs', 'except alcohol', 'fridge', 'groceries', 'uht milk']","['beverages', 'dairy', 'dutch lady', 'groceries', 'on sale', 'uht milk']",13.0,https://vsj.bites.com.my/collections/groceries/products/dutch-lady-uht-low-fat-3x1l,18.88
ayam brand baked beans in t/s 230gm,3.35,11,ayam brand,"['canned food & instant meals', 'except alcohol', 'groceries', 'pantry']","['ayam brand', 'canned food', 'groceries', 'instant meals', 'pantry']",0.0,https://vsj.bites.com.my/collections/groceries/products/ayam-brand-baked-beans-in-t-s-230gm,
maggi big curry 5x106g,7.1,39,maggi,"['canned food & instant meals', 'except alcohol', 'groceries', 'pantry']","['groceries', 'instant meals', 'instant noodles', 'maggi', 'pantry']",0.0,https://vsj.bites.com.my/collections/groceries/products/maggi-big-curry-5x106g,
indomie mi goreng asli (promo) 10x80g,10.69,27,indomie,"['canned food & instant meals', 'except alcohol', 'groceries', 'pantry']","['groceries', 'indomie', 'instant meals', 'instant noodles', 'on sale', 'pantry']",7.0,https://vsj.bites.com.my/collections/groceries/products/indomie-mi-goreng-asli-promo-10x80g,9.98
san remo macaroni no.38 500gm,5.4,20,san remo,"['except alcohol', 'groceries', 'pantry', 'pasta', 'pasta', 'rice & noodles']","['groceries', 'noodles', 'on sale', 'pantry', 'pasta', 'san remo']",14.0,https://vsj.bites.com.my/collections/groceries/products/san-remo-macaroni-no-38-500gm,4.68
coca-cola zero sugar 1.5l,4.5,16,coca-cola,"['beverages', 'carbonated drinks', 'except alcohol', 'groceries']","['beverages', 'carbonated drinks', 'coca-cola', 'coke', 'cola', 'groceries', 'on sale']",16.0,https://vsj.bites.com.my/collections/groceries/products/coca-cola-zero-sugar-1-5l,3.78
sumo calrose rice 5kg,36.9,3,sumo,"['christmas fair', 'cny fair', 'except alcohol', 'groceries', 'pantry', 'pasta', 'rice & noodles', 'rice']","['christmas fair', 'cny fair', 'grains', 'groceries', 'japanese rice', 'on sale', 'pantry', 'rice', 'sumo']",22.0,https://vsj.bites.com.my/collections/groceries/products/sumo-calrose-rice-5kg,28.88
mcvitie's dark choc tp 632g,21.9,12,mcvities,"['biscuits & cookies', 'except alcohol', 'groceries', 'pantry', 'snacks & sweets']","['biscuits', 'groceries', ""mcvitie's"", 'pantry', 'snacks']",0.0,https://vsj.bites.com.my/collections/groceries/products/mcvities-dark-choc-tp-632g,
barilla spaghettini n3 500g,8.15,28,barilla,"['except alcohol', 'groceries', 'pantry', 'pasta', 'pasta', 'rice & noodles']","['barilla', 'groceries', 'on sale', 'pantry', 'pasta']",11.0,https://vsj.bites.com.my/collections/groceries/products/barilla-spaghettini-n3-500g,7.28
carlsberg beer can (gl) 6x320ml,44.0,64,carlsberg,"['alcohol', 'beer', 'beer & cider', 'beverages', 'beverages offer', 'groceries']","['alcohol', 'beer', 'beverages', 'beverages offer', 'booze', 'carlsberg', 'on sale']",26.0,https://vsj.bites.com.my/collections/groceries/products/carlsberg-beer-can-gl-6x320ml,32.88
ayam brand sardine jitney 155g,5.15,65,ayam brand,"['canned food & instant meals', 'except alcohol', 'groceries', 'pantry']","['ayam brand', 'canned food', 'groceries', 'instant meals', 'pantry']",0.0,https://vsj.bites.com.my/collections/groceries/products/ayam-brand-sardine-jitney-155g,
mission tortilla chips cheese 170g,7.8,9,mission,"['chips & crackers', 'except alcohol', 'groceries', 'pantry', 'snacks & sweets']","['chips', 'groceries', 'mission', 'pantry', 'snacks']",0.0,https://vsj.bites.com.my/collections/groceries/products/mission-tortilla-chips-cheese-170g,
mission wraps garlic 8's 360gm,8.6,27,mission,"['bakery', 'bread', 'except alcohol', 'groceries']","['bakery', 'bread', 'groceries', 'mission']",0.0,https://vsj.bites.com.my/collections/groceries/products/mission-wraps-garlic-8-s-360gm,
coca cola rasa asli 1.5l,4.5,16,coca-cola,"['*raya fair', 'beverages', 'carbonated drinks', 'except alcohol', 'groceries']","['beverages', 'carbonated drinks', 'coca-cola', 'coke', 'cola', 'groceries', 'on sale', 'salam aidilfitri']",16.0,https://vsj.bites.com.my/collections/groceries/products/coca-cola-rasa-asli-1-5l,3.78
kewpie mayonnaise japanese style 310ml,11.35,32,kewpie,"['condiments & salad dressings', 'except alcohol', 'groceries', 'pantry']","['condiments', 'groceries', 'kewpie', 'mayonnaise', 'pantry']",0.0,https://vsj.bites.com.my/collections/groceries/products/kewpie-mayonnaise-japanese-style-310ml,
lkk panda oyster sauce 510g,9.0,15,lee kum kee,"['except alcohol', 'groceries', 'pantry', 'sauces', 'oil & vinegar']","['lee kum kee', 'oyster sauce', 'pantry', 'sauces']",0.0,https://vsj.bites.com.my/collections/groceries/products/lkk-panda-oyster-sauce-510g,
ayam brand chilli tuna light 160g,7.7,7,ayam brand,"['canned food & instant meals', 'except alcohol', 'groceries', 'pantry']","['ayam brand', 'canned food', 'groceries', 'instant meals', 'on sale', 'pantry']",3.0,https://vsj.bites.com.my/collections/groceries/products/ayam-brand-chilli-tuna-light-160gm,7.49
maggi chicken stock cube 60g,3.4,59,maggi,"['cooking ingredients', 'except alcohol', 'groceries', 'herbs & spices', 'pantry']","['groceries', 'maggi', 'pantry', 'seasoning']",0.0,https://vsj.bites.com.my/collections/groceries/products/maggi-chicken-stock-cube-60g,
homesoy no sugar added 1l,3.9,5,homesoy,"['beverages', 'cny fair', 'dairy & eggs', 'except alcohol', 'fridge', 'groceries', 'mixed drinks & cordials']","['beverages', 'cny fair', 'dairy', 'groceries', 'homesoy', 'mixed drinks', 'on sale', 'soy drinks', 'soy milk']",9.0,https://vsj.bites.com.my/collections/groceries/products/homesoy-no-sugar-added-1l,3.58
f&n scfm pekat manis 500g,5.55,23,bites shop,"['beverages', 'except alcohol', 'groceries', 'hot beverages']","['beverages', 'creamer', 'f&n', 'groceries', 'hot beverages', 'sweetener']",0.0,https://vsj.bites.com.my/collections/groceries/products/fn-scfm-pekat-manis-500g,
maggi chilli sauce 500g,6.0,11,maggi,"['childhood memories', 'childhood memories', 'condiments & salad dressings', 'except alcohol', 'groceries', 'pantry', 'sauces', 'oil & vinegar']","['childhood memories', 'chilli sauce', 'condiments', 'groceries', 'maggi', 'on sale', 'pantry', 'sauces']",7.0,https://vsj.bites.com.my/collections/groceries/products/maggi-chilli-sauce-500g,5.58
sumo calrose rice 1kg,11.1,24,sumo,"['except alcohol', 'groceries', 'pantry', 'pasta', 'rice & noodles', 'rice']","['grains', 'groecries', 'pantry', 'rice', 'sumo']",0.0,https://vsj.bites.com.my/collections/groceries/products/sumo-calrose-rice-1kg,
arnotts tim tam double chocolate 200g,15.5,14,arnott's,"['biscuits & cookies', 'christmas fair', 'except alcohol', 'groceries', 'october deals', 'pantry', 'snacks & sweets']","[""arnott's"", 'biscuits', 'christmas fair', 'cookies', 'groceries', 'october deals', 'on sale', 'pantry', 'snacks']",8.0,https://vsj.bites.com.my/collections/groceries/products/arnotts-tim-tam-double-chocolate-200g,14.28
gardenia toast'em choco raisin 360g,5.5,27,gardenia,"['bakery', 'bread', 'except alcohol', 'groceries', 'pantry']","['bakery', 'bread', 'gardenia', 'groceries', 'pantry']",0.0,https://vsj.bites.com.my/collections/groceries/products/gardenia-toast-em-choco-raisin-360g,
maggi tomato sauce 325g,4.45,30,maggi,"['except alcohol', 'groceries', 'pantry', 'sauces', 'oil & vinegar']","['groceries', 'maggi', 'pantry', 'sauces', 'tomato ketchup']",0.0,https://vsj.bites.com.my/collections/groceries/products/maggi-tomato-sauce-325g,
adabi asam jawa xtra 200g,5.1,10,adabi,"['except alcohol', 'groceries', 'pantry']","['adabi', 'asam jawa', 'cooking ingredients', 'groceries', 'pantry']",0.0,https://vsj.bites.com.my/collections/groceries/products/adabi-asam-jawa-xtra-200g,
sanitarium so good almond milk 1l,12.2,34,sanitarium,"['beverages', 'christmas fair', 'cny fair', 'dairy & eggs', 'except alcohol', 'fridge', 'groceries', 'milk']","['almond milk', 'beverages', 'christmas fair', 'cny fair', 'dairy', 'groceries', 'milk', 'on sale', 'sanitarium']",13.0,https://vsj.bites.com.my/collections/groceries/products/sanitarium-so-good-almond-milk-1l,10.68
csr better brown sugar 1kg,5.95,4,csr,"['baking ingredients', 'cooking ingredients', 'except alcohol', 'groceries', 'nuts', 'seeds & dried goods', 'pantry']","['baking', 'baking ingredients', 'cooking', 'cooking ingredients', 'dried goods', 'groceries', 'pantry', 'sugar']",0.0,https://vsj.bites.com.my/collections/groceries/products/csr-better-brown-sugar-1kg,
pringles original 102g,7.8,43,pringles,"['chips & crackers', 'christmas fair', 'except alcohol', 'groceries', 'pantry', 'snacks & sweets']","['chips', 'christmas fair', 'groceries', 'on sale', 'pantry', 'pringles', 'snacks']",15.0,https://vsj.bites.com.my/collections/groceries/products/pringles-original-102g,6.68
mission tortilla chips garlic & butter 170g,7.8,7,mission,"['chips & crackers', 'except alcohol', 'groceries', 'pantry', 'snacks & sweets']","['chips', 'groceries', 'mission', 'pantry', 'snacks']",0.0,https://vsj.bites.com.my/collections/groceries/products/mission-tortilla-chips-garlic-butter-170g,
kjeldsens butter cookies 454g,39.45,16,kjeldsens,"['biscuits & cookies', 'childhood memories', 'childhood memories', 'except alcohol', 'groceries', 'pantry', 'snacks & sweets']","['biscuits', 'butter cookies', 'childhood memories', 'cookies', 'groceries', 'kjeldsens', 'on sale', 'pantry', 'snacks']",17.0,https://vsj.bites.com.my/collections/groceries/products/kjeldsens-butter-cookies-454g,32.88
mcvities digestive 400g,11.7,4,mcvitie's,"['biscuits & cookies', 'except alcohol', 'groceries', 'pantry', 'snacks & sweets']","['biscuits', 'groceries', ""mcvitie's"", 'pantry', 'snacks']",0.0,https://vsj.bites.com.my/collections/groceries/products/mcvities-digestive-400g,
nutella t350g,21.5,7,nutella,"['breakfast & cereals', 'except alcohol', 'groceries', 'october deals', 'pantry']","['breakfast', 'chocolate', 'chocolate spreads', 'groceries', 'nutella', 'october deals', 'pantry', 'spread']",0.0,https://vsj.bites.com.my/collections/groceries/products/nutella-t350g,
nutella hazelnut spread 200gm,12.2,25,nutella,"['breakfast & cereals', 'except alcohol', 'groceries', 'jams & spreads', 'pantry']","['breakfast', 'groceries', 'nutella', 'pantry', 'spreads']",0.0,https://vsj.bites.com.my/collections/groceries/products/nutella-hazelnut-spread-200gm,
nongshim shin ramyun 5x120gm,22.9,29,nongshim,"['canned food & instant meals', 'cny fair', 'except alcohol', 'groceries', 'pantry']","['cny fair', 'groceries', 'instant meals', 'instant noodles', 'nongshim', 'on sale', 'pantry']",13.0,https://vsj.bites.com.my/collections/groceries/products/nongshim-shin-ramyun-5x120gm,19.98
nutella t680g,39.5,8,nutella,"['breakfast & cereals', 'except alcohol', 'groceries', 'jams & spreads', 'pantry']","['breakfast', 'groceries', 'nutella', 'pantry', 'spreads']",0.0,https://vsj.bites.com.my/collections/groceries/products/nutella-t680g,
milo softpack 400g,10.25,20,milo,"['beverages', 'except alcohol', 'groceries', 'hot beverages']","['beverages', 'groceries', 'hot beverages', 'milo']",0.0,https://vsj.bites.com.my/collections/groceries/products/milo-softpack-400g,
lotus caramelised biscuits (2x12) 186gm,9.3,14,biscoff,"['biscuits & cookies', 'except alcohol', 'groceries', 'pantry', 'snacks & sweets']","['biscuits', 'cookies', 'groceries', 'lotus', 'lotus biscoff', 'on sale', 'pantry', 'snacks']",8.0,https://vsj.bites.com.my/collections/groceries/products/lotus-caramelised-biscuits-2x12-186gm,8.58
naturel blend cooking oil 1kg,14.9,5,naturel,"['cooking ingredients', 'except alcohol', 'groceries', 'pantry', 'sauces', 'oil & vinegar']","['groceries', 'naturel', 'oil', 'on sale', 'pantry']",3.0,https://vsj.bites.com.my/collections/groceries/products/naturel-blend-cooking-oil-1kg,14.58
kara coconut cream 500ml,8.6,41,kara,"['except alcohol', 'groceries', 'pantry']","['bakingcoconut cream', 'groceries', 'kara', 'pantry']",0.0,https://vsj.bites.com.my/collections/groceries/products/kara-coconut-cream-500ml,
mauri-pan instant yeast 11g,1.1,77,mauri-pan,"['baking ingredients', 'except alcohol', 'groceries', 'pantry']","['baking', 'groceries', 'mauri pan', 'pantry', 'yeast']",0.0,https://vsj.bites.com.my/collections/groceries/products/mauri-pan-instant-yeast-11g,
mission wraps onion & chive 8's 360gm,8.6,6,mission,"['bakery', 'bread', 'except alcohol', 'groceries']","['bakery', 'bread', 'groceries', 'mission']",0.0,https://vsj.bites.com.my/collections/groceries/products/mission-wraps-onion-chive-8-s-360gm,
indomie mi goreng asli 5x80g,5.89,93,indomie,"['canned food & instant meals', 'christmas fair', 'except alcohol', 'groceries', 'pantry']","['christmas fair', 'groceries', 'indomie', 'instant meals', 'instant noodles', 'on sale', 'pantry']",0.0,https://vsj.bites.com.my/collections/groceries/products/indomie-mi-goreng-asli-5x80g,5.28
ced pure honey 500gm,14.0,20,ced,"['except alcohol', 'groceries', 'organic breakfast & spreads', 'organics', 'pantry']","['ced', 'groceries', 'organic honey', 'organics', 'pantry']",0.0,https://vsj.bites.com.my/collections/groceries/products/ced-pure-honey-500gm,
